Time
123.6
143.82
133.73
201.65
217.37
120.49
83.17
179.52
117.73
125.26
153.51
203.75
152.43
195.61
173.74
95.19
196.53
113.1
190.34
229.19
180.23
187.12
111.15
156.01
191.33
