year,resid,age,gender,race,educ1,urban,region,income,union,religion,martial_status,occup2,partyid7,str_partyid,dlikes,rlikes,presvote_2party,ideo7,perfin1
1992,98,44,2,1,2,2,3,2,2,1,1,2,2,3,-1,1,2, ,1
1992,99,22,1,1,2,2,4,2,2,2,7,3,4,1,0,-5, ,6,3
1992,101,27,2,1,2,3,2,2,2,1,1,6,5,2,-3,-4, ,4,3
1992,102,71,1,1,3,2,2,3,1,1,1,3,1,4,3,-5,1,2,3
1992,103,70,1,2,1,1,2,2,1,1,1,3,1,4,3,-3,1,2,2
1992,104,18,1,1,2,3,3,4,2,1,2,4,4,1,-1,1, ,6,1
1992,105,51,1,1,3,2,1,4,2,2,1,1,5,2,2,1, ,5,2
1992,106,35,1,1,3,2,2,4,2,1,1,1,2,3,-2,2,2,5,1
1992,107,37,1,2,2,1,2,3,1,1,1,3,4,1,0,-3, ,6,3
1992,108,54,2,1,2,1,2,2,1,1,1,6,3,2,5,-3,1,6,2
1992,109,37,1,1,4,2,3,5,2,1,1,2,6,3,-4,-3,2,4,1
1992,111,58,2,2,1,3,3,1,2,1,3, ,5,2,0,3,1,6,3
1992,114,25,1,1,3,2,3,1,2,1,2,1,7,4,-2,2, ,6,1
1992,115,30,1,1,3,2,3,1,2,4,2,2,4,1,3,-2, ,4,2
1992,116,58,1,1,4,2,3,5,2,1,1,1,6,3,-1,0, ,5,2
1992,117,77,1,1,2,2,2,1,2,1,5,3,1,4,2,-3,1,4,3
1992,118,65,1,1,1,3,2,2,2, ,1, ,1,4,2,-2, ,6,3
1992,119,32,2,1,2,2,1,3,2,1,1,3,4,1,2,2, ,4,2
1992,120,17,2,2,2,1,1,3,1,1,2, ,2,3,-1,-2, ,2,3
1992,121,53,1,2,3,1,1,4,2,4,2,1,3,2,1,-1,1, ,2
1992,122,42,2,2,4,1,1,1,2,1,2,1,2,3,2,-2,1,4,3
1992,123,35,2,2,3,1,1,4,1,1,1,2,1,4,3,-5,1,2,3
1992,124,44,2,1,3,2,1,4,1,1,3,3,3,2,-1,-5,1,3,3
1992,125,39,2,1,3,2,1,3,2,2,1,6,3,2,4,-2,1,3,2
1992,126,30,2,1,3,1,3,4,2,1,1,2,6,3,2,0,2,2,2
1992,127,49,2,1,2,3,3,2,2,1,3,3,1,4,4,0,1,6,1
1992,128,32,2,1,3,2,3,3,2,1,1,2,6,3,-1,2,2,5,1
1992,129,45,2,1,4,2,3,4,2,1,1,1,3,2,3,-3,1,4,3
1992,130,51,2,1, ,3,2,4,1,2,1,1,3,2,0,-1, ,4,3
1992,131,78,2,2,4,3,3,4,2,1,1,1,2,3,3,-2,1,4,2
1992,132,67,1,1,2,3,4,2,2,4,1,1,7,4,-2,0, ,6,3
1992,133,43,1,1,3,3,4,4,2,2,3,1,5,2,-4,-1, ,5,1
1992,134,84,2,1,2,2,1,2,2,1,5,6,4,1,3,-5,1,6,2
1992,135,59,2,1,2,2,2,4,1,1,1,6, , ,-3,5,1,4,2
1992,136,34,1,1,3,2,3,4,2,2,1,1,1,4,-1,0,2,6,1
1992,137,28,2,1,2,2,2,4,2,1,1,3,6,3,-3,3,2,5,1
1992,138,88,2,2,1,2,1,1,2,1,3,3,1,4,0,-2, ,3,3
1992,139,58,2,1,2,1,2,4,2,2,1,6,7,4,-2,3,2,5,1
1992,141,43,1,1,2,1,2,4,2,4,1,1,3,2,4,1,1,3,2
1992,142,83,2,1,4,2,3,4,2,1,5,1,7,4,0,5,2,6,3
1992,143,51,1,1,4,1,4,5,2,1,3,2,7,4,-4,3,2,6,1
1992,144,65,1,1,4,3,1,4,2,3,1,1,6,3,-3,1,2,5,2
1992,145,67,2,1,4,3,1,2,2,1,5,1,6,3,2,0,2,5,2
1992,146,38,2,1,4,3,1,4,1,2,1,1,2,3,-1,-1,1,4,1
1992,147,33,2,1,2,3,1,2,2,2,1,1,5,2,-1,1,2,6,1
1992,149,26,1,1,2,3,2,3,2,2,1,3,6,3,0,2,2,4,1
1992,150,23,1,1,4,3,2,1,2,1,2,1,4,1,2,3,1,4,2
1992,152,25,2,1,3,2,3,4,2,1,1,1,5,2,0,3, ,4,1
1992,153,34,1,1,4,3,3,4,2,2,1,1,2,3,0,-4, ,2,2
1992,154,34,2,2,4,3,3,5,2,2,1,1,1,4,4,-2,1,3,2
1992,155,63,1,1,2,2,2,4,1,1,1,1,7,4,-2,2,2,5,3
1992,156,48,1,1,4,2,3,4,1,2,1,1,5,2,1,2,2,6,3
1992,158,85,1,1,4,1,3,4,2,4,1, ,5,2,-5,5,2,4,2
1992,159,30,1,1,4,2,1,3,2,2,2,1,5,2,-4,1,2,6,3
1992,160,81,1,1,3,2,1,4,2,1,1,1,6,3,0,-4,1,5,2
1992,161,39,1,1,4,2,2,4,2,1,1,1,6,3,-2,1,2,5,1
1992,162,40,1,1,4,2,3,4,2,2,1,2,6,3,0,0,2,6,1
1992,163,38,1,1,4,2,3,4,2,1,1, ,7,4,-1,1,2,6,1
1992,164,36,1,1,4,2,3, ,2,1,1,1,5,2,-1,1, ,6,2
1992,165,43,1,1,2,2,3,4,2,1,1,2,2,3,0,-2,1,5,3
1992,166,46,2,2,3,1,2,2,1,1,4,3,1,4,2,-3,1,2,2
1992,167,26,1,1,2,2,2,4,2,1,1,3,3,2,1,-2, ,3,3
1992,168,41,2,1,3,2,2, ,1,2,1,2,4,1,-2,2, ,5,3
1992,169,43,1,2,3,2,1,4,1,1,1,2,3,2,4,-5, ,2,3
1992,170,55,2,1,2,1,2,3,1,1,1,3,1,4,3,-1,1,4,1
1992,171,51,1,1,4,3,3,4,2,1,1,1,2,3,-2,4, ,6,2
1992,172,46,2,2,3,1,3,4,1,1,1,2,2,3,0,0,1,4,1
1992,173,36,1,1,3,1,4,1,2,1,2,2,3,2,3,-4,1,2,3
1992,174,25,2,1,3,1,4,2,2,4,2,3,1,4,5,-4,1,3,1
1992,175,36,2,1,3,3,3,4,1,1,1,2,4,1,1,-3,2,4,2
1992,176,37,1,1,4,2,3,4,2,4,1,1,3,2,1,-4, ,4,2
1992,177,32,1,1,4,3,2,4,2,1,1,2,5,2,-2,-3, ,6,1
1992,178,78,1,1,4,3,3,4,2,1,1,1,7,4,-1,3,2,6,3
1992,179,65,2,1,3,2,3,3,2,1,3,2,4,1,1,-2,1,4,2
1992,180,31,1,1,4,2,2,3,2,2,2,1,6,3,1,1,1,4,1
1992,181,37,2,1,2,3,3,3,1,1,1,3,7,4,-1,1,2,5,2
1992,182,73,2,2,2,2,1, ,2,1,5,3,1,4,1,-3,1,4,3
1992,183,51,2,1,3,2,2,4,2,4,1,6,1,4,1,-3,1,4,2
1992,184,38,2,5,4,1,3,2,2,2,3,1,5,2,-2,0,2,6,2
1992,185,34,2,2,2,1,3,2,2,1,3,3,2,3,3,-3,1,3,3
1992,186,51,1,1,2,1,3,1,2,1,4,3,3,2,2,-2, ,5,3
1992,187,44,1,1,4,1,3,4,2,1,1,1,7,4,0,2, ,5,3
1992,188,19,2,4,2,3,3, ,2,4,1,6,2,3,1,-2, ,4,1
1992,189,36,1,1,3,3,4,1,2,4,3,3,5,2,0,-3, ,3,3
1992,190,38,2,1,4,3,4,1,2,4,4,2,6,3,4,-4, ,3,2
1992,191,35,2,1,2,1,3,2,2,4,3,6,7,4,-2,4,2,6,1
1992,194,24,1,1,3,2,3,2,2,4,2,3,3,2,1,0,1,1,1
1992,195,49,1,1,3,3,3,5,2,1,1,1,6,3,-3,4, ,4,1
1992,196,39,1,1,4,3,3,2,2,1,2,1,2,3,-2,-5,1,5,2
1992,198,39,2,1,2,2,2,4,2,1,1,1,7,4,-2,5,2,4,1
1992,199,41,1,1,3,3,2,3,2,1,1,5,7,4,-5,3,2,7,2
1992,200,60,2,1,2,3,2,2,2,2,1,2,1,4,0,-4,1,6,3
1992,201,51,1,1,3,1,3,4,1,1,1,1,5,2,-3,0,2,6,2
1992,202,41,1,1,4,2,3,4,2,2,1,1,1,4,0,-1,1,5,2
1992,205,19,1,1,3,3,2,4,2,2,2,1,6,3,0,0, , ,2
1992,207,70,2,1,4,3,2,4,2,2,1,1,5,2,-2,5,2,4,2
1992,208,52,1,1,2,3,1, ,1,4,7,4,3,2,3,-4, ,7,2
1992,210,71,1,1,2,1,2,3,2,2,1,3,1,4,1,-2,1,4,2
1992,211,79,2,1,2,2,2,2,2,2,5,2,3,2,-2,-2,2,4,3
1992,212,32,1,1,4,2,3,4,2,1,7,1,7,4,-1,2,2,6,1
1992,213,49,2,1,3,2,3,4,2,1,1,1,7,4,-3,5, ,6,2
1992,214,37,2,1,3,2,3,4,2,1,1,6,5,2,2,-1,2,5,2
1992,216,32,1,5,2,1,1,4,1,2,1,3,3,2,4,-4, ,2,1
1992,218,68,2,1,2,3,3, ,2,1,5,2,3,2,2,0,1,6,2
1992,219,46,2,2,3,3,3, ,2,1,1,1,2,3,-1,1, ,7,2
1992,220,44,1,1,3,2,3,4,1,2,1,3,5,2,-2,-2, ,6,3
1992,221,32,1,1,2,3,3,3,2,1,3,3,2,3,0,-2, ,7,1
1992,222,49,2,1,2,1,2,3,1,1,1,3,2,3,0,1, ,6,1
1992,223,38,1,1,1,1,1,3,2,4,1,1,3,2,1,-5, ,4,3
1992,224,33,2,2,3,3,3,3,2,1,1,2,2,3,4,0,1,4,2
1992,225,47,2,5,2,1,1,4,1,2,1,2,2,3,-1,1, ,2,2
1992,226,69,2,2,1,3,3,1,2,1,5,3,1,4,0,0,1, ,1
1992,228,41,1,3,2,1,1,4,2,4,1,3,6,3,1,1, ,4,2
1992,230,50,1,1,4,1,3,5,2,2,1,1,1,4,1,1,1,2,1
1992,231,51,2,1,2,3,3,3,2,4,3,2,3,2,4,-4,1,2,3
1992,232,60,2,1,3,2,3,3,2,1,5,2,6,3,0,0,2,6,1
1992,233,52,2,2,1,2,1,1,2,1,5,3,3,2,1,0, ,5,3
1992,234,67,2,1,2,1,2,3,1,4,5,1,1,4,1,-2,1,5,1
1992,235,40,1,1,3,2,3,1,2,4,2,2,3,2,2,-5,1,1,1
