Year,Revenues
1995,18.0
1996,18.5
1997,18.9
1998,18.8
1999,19.8
2000,20.5
2001,20.1
2002,19.6
2003,21.0
2004,21.9
2005,23.1
2006,24.1
2007,28.9
2008,31.9
2009,31.0
