Year,GDP,Export,GDPGrowth
2002,162.3,223.9,0.033
2003,167.2,278.6,0.030
2004,190.5,335.6,0.139
2005,208.8,382.5,0.096
2006,231.4,431.6,0.108
2007,268.1,450.6,0.159
2008,269.7,476.8,0.006
2009,274.7,391.1,0.019
2010,315.9,478.8,0.150
2011,334.1,514.7,0.058
2012,345.6,510.3,0.034
