S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,No. of Units,Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Option Exercised / Sales Agreement Signed,unit price bin,Tenure 2
1260,THE SIERRA,MOUNT SINAI DRIVE,Apartment,10,CCR,947 yrs lease commencing from 1937,1,1460000,1141,Strata,01 to 05,1280,10/1/2013,1000-1499,>900 / Freehold
1261,RIDGEWOOD,RIDGEWOOD CLOSE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1635000,1528,Strata,01 to 05,1070,10/1/2013,1000-1499,>900 / Freehold
1264,GARDENVILLE,WALSHE ROAD,Condominium,10,CCR,Freehold,1,3200000,1582,Strata,06 to 10,2022,10/1/2013,2000-2499,>900 / Freehold
1265,OLINA LODGE,HOLLAND HILL,Condominium,10,CCR,Freehold,1,2150000,1625,Strata,01 to 05,1323,10/1/2013,1000-1499,>900 / Freehold
1266,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,2050000,1593,Strata,01 to 05,1287,10/1/2013,1000-1499,<105
1273,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,1,10500000,2885,Strata,26 to 30,3640,10/1/2013,3500-3999,>900 / Freehold
1277,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,925000,818,Strata,01 to 05,1131,10/1/2013,1000-1499,<105
1278,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1301400,635,Strata,26 to 30,2049,10/1/2013,2000-2499,<105
1279,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2192570,1281,Strata,26 to 30,1712,10/1/2013,1500-1999,<105
1283,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2088900,1055,Strata,06 to 10,1980,10/1/2013,1500-1999,>900 / Freehold
1285,JERVOIS REGENCY,JERVOIS ROAD,Apartment,10,CCR,Freehold,1,1570000,1033,Strata,01 to 05,1519,10/1/2013,1500-1999,>900 / Freehold
1291,THE GRANGE,GRANGE GARDEN,Condominium,10,CCR,Freehold,1,5700000,2282,Strata,16 to 20,2498,10/1/2013,2000-2499,>900 / Freehold
1292,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,1,5200000,2142,Strata,06 to 10,2428,10/1/2013,2000-2499,>900 / Freehold
1293,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2860000,1884,Strata,01 to 05,1518,10/1/2013,1500-1999,>900 / Freehold
1294,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,3236370,2067,Strata,26 to 30,1566,10/1/2013,1500-1999,<105
1296,THE ESTORIL,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,3150000,2088,Strata,01 to 05,1508,10/1/2013,1500-1999,>900 / Freehold
1299,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2145910,1496,Strata,06 to 10,1434,10/1/2013,1000-1499,<105
1300,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,971700,452,Strata,06 to 10,2149,10/1/2013,2000-2499,>900 / Freehold
1302,BALMORAL 8,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,3600000,1841,Strata,06 to 10,1956,10/1/2013,1500-1999,>900 / Freehold
1306,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2931820,2024,Strata,11 to 15,1449,10/1/2013,1000-1499,<105
1307,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2880000,1808,Strata,06 to 10,1593,10/1/2013,1500-1999,>900 / Freehold
1308,THE HORIZON,HOLT ROAD,Condominium,10,CCR,Freehold,1,2475000,1561,Strata,01 to 05,1586,10/1/2013,1500-1999,>900 / Freehold
1309,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,1985333,850,Strata,01 to 05,2335,10/1/2013,2000-2499,<105
1315,WATERFALL GARDENS,FARRER ROAD,Condominium,10,CCR,Freehold,1,4000000,2583,Strata,01 to 05,1548,10/1/2013,1500-1999,>900 / Freehold
1317,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2267750,1141,Strata,01 to 05,1988,10/1/2013,1500-1999,>900 / Freehold
1322,ROBIN REGALIA,ROBIN ROAD,Apartment,10,CCR,Freehold,1,2030000,1249,Strata,01 to 05,1626,10/1/2013,1500-1999,>900 / Freehold
1323,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,1366000,614,Strata,01 to 05,2226,10/1/2013,2000-2499,<105
1327,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2154240,1292,Strata,26 to 30,1668,10/1/2013,1500-1999,<105
1328,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,5200000,1690,Strata,01 to 05,3077,10/1/2013,3000-3499,>900 / Freehold
1330,FOUR SEASONS PARK,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,5300000,2260,Strata,06 to 10,2345,10/1/2013,2000-2499,>900 / Freehold
1332,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1385800,689,Strata,01 to 05,2012,10/1/2013,2000-2499,>900 / Freehold
1334,QUINTERRA,HOLLAND ROAD,Apartment,10,CCR,99 yrs lease commencing from 2006,1,2150000,1679,Strata,01 to 05,1280,10/1/2013,1000-1499,<105
1338,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,3881000,1905,Strata,01 to 05,2037,10/1/2013,2000-2499,<105
1339,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,853620,420,Strata,01 to 05,2033,10/1/2013,2000-2499,>900 / Freehold
1340,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2380420,1399,Strata,26 to 30,1701,10/1/2013,1500-1999,<105
1345,BLISSFUL VIEW,HOLLAND HILL,Apartment,10,CCR,Freehold,1,2040800,1518,Strata,06 to 10,1345,10/1/2013,1000-1499,>900 / Freehold
1346,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1650000,732,Strata,16 to 20,2254,10/1/2013,2000-2499,>900 / Freehold
1351,RV EDGE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,855000,420,Strata,01 to 05,2037,10/1/2013,2000-2499,>900 / Freehold
1353,MUTIARA CREST,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,810000,474,Strata,01 to 05,1710,10/1/2013,1500-1999,>900 / Freehold
1354,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2097800,1141,Strata,01 to 05,1839,10/1/2013,1500-1999,>900 / Freehold
1355,THE GRANGE,GRANGE GARDEN,Condominium,10,CCR,Freehold,1,5550000,2293,Strata,06 to 10,2421,10/1/2013,2000-2499,>900 / Freehold
1360,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,3400000,1410,Strata,06 to 10,2411,10/1/2013,2000-2499,>900 / Freehold
1362,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,4237520,1981,Strata,01 to 05,2140,10/1/2013,2000-2499,<105
1365,SIXTH AVENUE VILLE,SIXTH AVENUE,Condominium,10,CCR,Freehold,1,2200000,1550,Strata,01 to 05,1419,10/1/2013,1000-1499,>900 / Freehold
1366,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,915120,452,Strata,01 to 05,2024,10/1/2013,2000-2499,>900 / Freehold
1370,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2118400,1141,Strata,01 to 05,1857,10/1/2013,1500-1999,>900 / Freehold
1375,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2180200,1141,Strata,11 to 15,1911,10/1/2013,1500-1999,>900 / Freehold
1378,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,866740,420,Strata,01 to 05,2065,10/1/2013,2000-2499,>900 / Freehold
1379,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,1828000,926,Strata,11 to 15,1975,10/1/2013,1500-1999,>900 / Freehold
1380,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1680000,1012,Strata,01 to 05,1660,10/1/2013,1500-1999,>900 / Freehold
1381,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,861820,420,Strata,01 to 05,2053,10/1/2013,2000-2499,>900 / Freehold
1383,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,3008000,1389,Strata,01 to 05,2166,10/1/2013,2000-2499,<105
1387,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2830000,1948,Strata,01 to 05,1453,10/1/2013,1000-1499,>900 / Freehold
1393,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1709700,861,Strata,01 to 05,1985,10/1/2013,1500-1999,>900 / Freehold
1394,ARDMORE II,ARDMORE PARK,Condominium,10,CCR,Freehold,1,5970000,2024,Strata,21 to 25,2950,10/1/2013,2500-2999,>900 / Freehold
1395,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1778000,861,Strata,06 to 10,2065,10/1/2013,2000-2499,>900 / Freehold
1396,REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,Freehold,1,4500000,2250,Strata,01 to 05,2000,10/1/2013,2000-2499,>900 / Freehold
1397,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1325120,678,Strata,01 to 05,1954,10/1/2013,1500-1999,>900 / Freehold
1398,THE ARC AT DRAYCOTT,DRAYCOTT DRIVE,Apartment,10,CCR,Freehold,1,2850000,1270,Strata,16 to 20,2244,10/1/2013,2000-2499,>900 / Freehold
1401,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,879040,420,Strata,06 to 10,2094,10/1/2013,2000-2499,>900 / Freehold
1405,DUKES RESIDENCE,DUKE'S ROAD,Apartment,10,CCR,Freehold,1,2680000,1701,Strata,01 to 05,1576,10/1/2013,1500-1999,>900 / Freehold
1406,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,2333700,1033,Strata,01 to 05,2258,10/1/2013,2000-2499,<105
1408,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,856080,420,Strata,01 to 05,2039,10/1/2013,2000-2499,>900 / Freehold
1411,THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,2500000,1464,Strata,21 to 25,1708,10/1/2013,1500-1999,>900 / Freehold
1412,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4367619,2131,Strata,06 to 10,2049,10/1/2013,2000-2499,>900 / Freehold
1413,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2120550,1055,Strata,06 to 10,2010,10/1/2013,2000-2499,>900 / Freehold
1417,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2164800,1119,Strata,06 to 10,1934,10/1/2013,1500-1999,>900 / Freehold
1421,GRANGE RESIDENCES,GRANGE ROAD,Condominium,10,CCR,Freehold,1,6800000,2583,Strata,11 to 15,2632,10/1/2013,2500-2999,>900 / Freehold
1422,ONE CHATSWORTH,CHATSWORTH ROAD,Apartment,10,CCR,Freehold,1,7000000,3305,Strata,16 to 20,2118,10/1/2013,2000-2499,>900 / Freehold
1424,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1884540,947,Strata,06 to 10,1990,10/1/2013,1500-1999,>900 / Freehold
1425,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1865590,947,Strata,06 to 10,1970,10/1/2013,1500-1999,>900 / Freehold
1429,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1539870,775,Strata,06 to 10,1987,10/1/2013,1500-1999,>900 / Freehold
1430,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,862000,420,Strata,01 to 05,2053,10/1/2013,2000-2499,>900 / Freehold
1431,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,1909000,893,Strata,01 to 05,2137,10/1/2013,2000-2499,<105
1439,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,873300,420,Strata,01 to 05,2080,10/1/2013,2000-2499,>900 / Freehold
1440,HOLLAND HILL LODGE,HOLLAND HILL,Apartment,10,CCR,Freehold,1,2200000,2185,Strata,01 to 05,1007,10/1/2013,1000-1499,>900 / Freehold
1445,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2412130,1582,Strata,26 to 30,1524,10/1/2013,1500-1999,<105
1446,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1784320,861,Strata,01 to 05,2072,10/1/2013,2000-2499,>900 / Freehold
1447,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1615000,1033,Strata,06 to 10,1563,10/1/2013,1500-1999,>900 / Freehold
1449,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1428440,689,Strata,01 to 05,2074,10/1/2013,2000-2499,>900 / Freehold
1453,GALLOP GABLES,FARRER ROAD,Condominium,10,CCR,Freehold,1,3100000,1733,Strata,01 to 05,1789,10/1/2013,1500-1999,>900 / Freehold
1,CASABELLA,DUCHESS AVENUE,Condominium,10,CCR,Freehold,1,2080000,1281,Strata,01 to 05,1624,9/1/2013,1500-1999,>900 / Freehold
3,GRANGE RESIDENCES,GRANGE ROAD,Condominium,10,CCR,Freehold,1,8570000,2852,Strata,11 to 15,3004,9/1/2013,3000-3499,>900 / Freehold
5,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1940000,1055,Strata,06 to 10,1839,9/1/2013,1500-1999,>900 / Freehold
6,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,856080,420,Strata,01 to 05,2039,9/1/2013,2000-2499,>900 / Freehold
7,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1391540,689,Strata,01 to 05,2020,9/1/2013,2000-2499,>900 / Freehold
9,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1754670,947,Strata,01 to 05,1852,9/1/2013,1500-1999,>900 / Freehold
10,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2600000,1324,Strata,11 to 15,1964,9/1/2013,1500-1999,>900 / Freehold
11,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2139000,1141,Strata,06 to 10,1875,9/1/2013,1500-1999,>900 / Freehold
12,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2169900,1141,Strata,06 to 10,1902,9/1/2013,1500-1999,>900 / Freehold
15,THE BALMORAL,BALMORAL PARK,Condominium,10,CCR,Freehold,1,12000000,7642,Strata,01 to 05,1570,9/1/2013,1500-1999,>900 / Freehold
18,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,1,3050000,1701,Strata,01 to 05,1793,9/1/2013,1500-1999,>900 / Freehold
29,DUCHESS RESIDENCES,DUCHESS AVENUE,Condominium,10,CCR,999 yrs lease commencing from 1875,1,2760000,1464,Strata,01 to 05,1885,9/1/2013,1500-1999,>900 / Freehold
34,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2159600,1141,Strata,06 to 10,1893,9/1/2013,1500-1999,>900 / Freehold
35,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1875070,947,Strata,06 to 10,1980,9/1/2013,1500-1999,>900 / Freehold
46,MONTVIEW,MOUNT SINAI DRIVE,Condominium,10,CCR,Freehold,1,1870000,1227,Strata,06 to 10,1524,9/1/2013,1500-1999,>900 / Freehold
57,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,851160,420,Strata,01 to 05,2028,9/1/2013,2000-2499,>900 / Freehold
70,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1744000,861,Strata,06 to 10,2025,9/1/2013,2000-2499,>900 / Freehold
71,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,845000,420,Strata,01 to 05,2013,9/1/2013,2000-2499,>900 / Freehold
72,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1500000,980,Strata,06 to 10,1531,9/1/2013,1500-1999,>900 / Freehold
73,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,848700,420,Strata,01 to 05,2022,9/1/2013,2000-2499,>900 / Freehold
74,GALLOP GABLES,FARRER ROAD,Condominium,10,CCR,Freehold,1,2980000,1755,Strata,01 to 05,1698,9/1/2013,1500-1999,>900 / Freehold
75,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1395640,689,Strata,01 to 05,2026,9/1/2013,2000-2499,>900 / Freehold
76,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,868380,420,Strata,06 to 10,2069,9/1/2013,2000-2499,>900 / Freehold
87,JERVOIS LODGE,JERVOIS ROAD,Condominium,10,CCR,Freehold,1,1850000,1238,Strata,01 to 05,1495,9/1/2013,1000-1499,>900 / Freehold
88,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,1758730,753,Strata,01 to 05,2334,9/1/2013,2000-2499,<105
93,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1766280,861,Strata,06 to 10,2051,9/1/2013,2000-2499,>900 / Freehold
94,SOMMERVILLE GRANDEUR,FARRER DRIVE,Condominium,10,CCR,Freehold,1,3250000,1830,Strata,01 to 05,1776,9/1/2013,1500-1999,>900 / Freehold
95,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,903640,452,Strata,01 to 05,1999,9/1/2013,1500-1999,>900 / Freehold
96,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1742500,861,Strata,01 to 05,2024,9/1/2013,2000-2499,>900 / Freehold
102,RESIDENTIAL APARTMENTS,HOOT KIAM ROAD,Apartment,10,CCR,Freehold,1,1450000,1216,Strata,01 to 05,1192,9/1/2013,1000-1499,>900 / Freehold
103,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2572940,1324,Strata,06 to 10,1943,9/1/2013,1500-1999,>900 / Freehold
107,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,942180,452,Strata,06 to 10,2084,9/1/2013,2000-2499,>900 / Freehold
111,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1428440,689,Strata,06 to 10,2074,9/1/2013,2000-2499,>900 / Freehold
112,RIDGEWOOD,RIDGEWOOD CLOSE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1600000,1399,Strata,01 to 05,1143,9/1/2013,1000-1499,>900 / Freehold
117,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1302160,614,Strata,06 to 10,2122,9/1/2013,2000-2499,>900 / Freehold
118,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2128700,1141,Strata,06 to 10,1866,9/1/2013,1500-1999,>900 / Freehold
119,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1137770,549,Strata,01 to 05,2073,9/1/2013,2000-2499,>900 / Freehold
120,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1235620,549,Strata,06 to 10,2251,9/1/2013,2000-2499,>900 / Freehold
121,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,1,6800000,2756,Strata,11 to 15,2468,9/1/2013,2000-2499,>900 / Freehold
122,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2557490,1324,Strata,06 to 10,1932,9/1/2013,1500-1999,>900 / Freehold
131,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1685100,861,Strata,01 to 05,1957,9/1/2013,1500-1999,>900 / Freehold
132,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,871660,420,Strata,06 to 10,2076,9/1/2013,2000-2499,>900 / Freehold
133,DUCHESS MANOR,DUCHESS ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,1,1550000,829,Strata,01 to 05,1870,9/1/2013,1500-1999,>900 / Freehold
134,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1750000,861,Strata,06 to 10,2032,9/1/2013,2000-2499,>900 / Freehold
135,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1358740,678,Strata,01 to 05,2004,9/1/2013,2000-2499,>900 / Freehold
136,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,1361000,614,Strata,01 to 05,2218,9/1/2013,2000-2499,<105
137,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4047228,2110,Strata,06 to 10,1918,9/1/2013,1500-1999,>900 / Freehold
138,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,856080,420,Strata,01 to 05,2039,9/1/2013,2000-2499,>900 / Freehold
139,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,868380,420,Strata,06 to 10,2069,9/1/2013,2000-2499,>900 / Freehold
140,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1726920,850,Strata,06 to 10,2031,9/1/2013,2000-2499,>900 / Freehold
141,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1731020,861,Strata,01 to 05,2010,9/1/2013,2000-2499,>900 / Freehold
145,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1230470,549,Strata,06 to 10,2241,9/1/2013,2000-2499,>900 / Freehold
152,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1753900,861,Strata,01 to 05,2037,9/1/2013,2000-2499,>900 / Freehold
153,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,5238000,1690,Strata,01 to 05,3100,9/1/2013,3000-3499,>900 / Freehold
155,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,862640,420,Strata,01 to 05,2055,9/1/2013,2000-2499,>900 / Freehold
156,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2484290,1507,Strata,31 to 35,1649,9/1/2013,1500-1999,<105
157,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,3780000,1991,Strata,06 to 10,1898,9/1/2013,1500-1999,>900 / Freehold
158,ASTRID MEADOWS,CORONATION ROAD WEST,Condominium,10,CCR,Freehold,1,3200000,2056,Strata,01 to 05,1556,9/1/2013,1500-1999,>900 / Freehold
159,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,2398000,1335,Strata,01 to 05,1797,9/1/2013,1500-1999,>900 / Freehold
160,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1405480,689,Strata,01 to 05,2040,9/1/2013,2000-2499,>900 / Freehold
161,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,833120,420,Strata,01 to 05,1985,9/1/2013,1500-1999,>900 / Freehold
162,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1403020,689,Strata,01 to 05,2037,9/1/2013,2000-2499,>900 / Freehold
163,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1411500,689,Strata,01 to 05,2049,9/1/2013,2000-2499,>900 / Freehold
164,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1438280,689,Strata,06 to 10,2088,9/1/2013,2000-2499,>900 / Freehold
169,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,4380000,2885,Strata,11 to 15,1518,9/1/2013,1500-1999,>900 / Freehold
177,SPANISH VILLAGE,FARRER ROAD,Condominium,10,CCR,Freehold,1,1755000,1109,Strata,01 to 05,1583,9/1/2013,1500-1999,>900 / Freehold
178,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2310760,1216,Strata,06 to 10,1900,9/1/2013,1500-1999,>900 / Freehold
180,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,2853000,1561,Strata,01 to 05,1828,9/1/2013,1500-1999,<105
181,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2449700,1496,Strata,31 to 35,1637,9/1/2013,1500-1999,<105
182,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1754800,861,Strata,01 to 05,2038,9/1/2013,2000-2499,>900 / Freehold
183,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,868380,420,Strata,06 to 10,2069,9/1/2013,2000-2499,>900 / Freehold
184,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1200000,990,Strata,01 to 05,1212,9/1/2013,1000-1499,<105
193,PROXIMO,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1800000,1119,Strata,06 to 10,1608,9/1/2013,1500-1999,>900 / Freehold
201,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1719540,861,Strata,01 to 05,1997,9/1/2013,1500-1999,>900 / Freehold
202,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2800000,2002,Strata,16 to 20,1399,9/1/2013,1000-1499,>900 / Freehold
206,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,4131550,1658,Strata,06 to 10,2492,9/1/2013,2000-2499,>900 / Freehold
