S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,No. of Units,Price ($),Area,Type of Area,Floor Level,Unit Price ($psf),Date of Option Exercised / Sales Agreement Signed
1,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1340000,1109,Strata,01 to 05,1209,14-Aug
2,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1530000,1367,Strata,01 to 05,1119,14-Aug
3,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1937000,990,Strata,01 to 05,1956,14-Aug
4,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4888000,2131,Strata,11 to 15,2293,14-Aug
5,STEVENS SUITES,STEVENS CLOSE,Apartment,10,CCR,Freehold,1,3280000,1970,Strata,01 to 05,1665,14-Aug
6,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2800000,1927,Strata,01 to 05,1453,14-Aug
7,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,965000,452,Strata,01 to 05,2135,14-Aug
8,MELROSE PARK,KELLOCK ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2350000,1550,Strata,01 to 05,1516,14-Aug
9,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1680000,861,Strata,01 to 05,1951,14-Aug
10,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4470000,2131,Strata,01 to 05,2097,14-Aug
11,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1600000,1109,Strata,06 to 10,1443,14-Aug
12,BOTANIC GARDENS MANSION,TAMAN SERASI,Apartment,10,CCR,Freehold,1,2700000,1755,Strata,06 to 10,1539,14-Aug
13,GARDENVILLE,WALSHE ROAD,Condominium,10,CCR,Freehold,1,4250000,2874,Strata,06 to 10,1479,14-Aug
14,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,3200000,2486,Strata,11 to 15,1287,14-Aug
15,SHEARES VILLE,HOLT ROAD,Apartment,10,CCR,Freehold,1,2080000,1399,Strata,01 to 05,1486,14-Aug
16,CUSCADEN RESIDENCES,CUSCADEN ROAD,Condominium,10,CCR,Freehold,1,3000000,1485,Strata,16 to 20,2020,14-Aug
17,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,1,7750000,2885,Strata,11 to 15,2687,14-Aug
18,TOMLINSON HEIGHTS,TOMLINSON ROAD,Apartment,10,CCR,Freehold,1,8300000,2734,Strata,21 to 25,3036,14-Aug
19,ONE TREE HILL RESIDENCE,ONE TREE HILL,Apartment,10,CCR,Freehold,1,1900000,1001,Strata,01 to 05,1898,14-Aug
20,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2833000,1485,Strata,06 to 10,1907,14-Aug
21,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,2969000,1281,Strata,01 to 05,2318,14-Aug
22,CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,1,3000000,1453,Strata,01 to 05,2064,14-Aug
23,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,2200000,1711,Strata,01 to 05,1285,14-Aug
24,VERDURE,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,2680000,1421,Strata,01 to 05,1886,14-Aug
25,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,3545000,1485,Strata,01 to 05,2387,14-Aug
26,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5650000,2831,Strata,01 to 05,1996,14-Aug
27,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1166758,463,Strata,11 to 15,2521,14-Aug
28,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,4704980,2121,Strata,01 to 05,2219,14-Aug
29,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4613805,1948,Strata,06 to 10,2368,14-Aug
30,STELLAR RV,RIVER VALLEY ROAD,Apartment,10,CCR,Freehold,1,1055000,538,Strata,01 to 05,1960,14-Aug
31,CHIVERTON,EWE BOON ROAD,Apartment,10,CCR,Freehold,1,1888000,1292,Strata,11 to 15,1462,14-Aug
32,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1700000,1216,Strata,06 to 10,1398,14-Aug
33,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,5702620,2939,Strata,01 to 05,1941,14-Jul
34,REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,Freehold,1,6000000,3649,Strata,01 to 05,1644,14-Jul
35,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,2680000,1550,Strata,01 to 05,1729,14-Jul
36,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,1254330,538,Strata,01 to 05,2331,14-Jul
37,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,2707828,1195,Strata,01 to 05,2266,14-Jul
38,THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,2520000,1496,Strata,06 to 10,1684,14-Jul
39,THE ELEMENT @ STEVENS,STEVENS ROAD,Apartment,10,CCR,Freehold,1,1435000,958,Strata,01 to 05,1498,14-Jul
40,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,3496000,1464,Strata,01 to 05,2388,14-Jul
41,QUINTERRA,HOLLAND ROAD,Apartment,10,CCR,99 yrs lease commencing from 2006,1,2030000,1787,Strata,11 to 15,1136,14-Jul
42,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,2180000,1335,Strata,01 to 05,1633,14-Jul
43,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,3369230,2153,Strata,21 to 25,1565,14-Jul
44,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,3200000,2519,Strata,11 to 15,1270,14-Jul
45,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,946280,452,Strata,01 to 05,2093,14-Jul
46,RESIDENTIAL APARTMENTS,DRAYCOTT DRIVE,Apartment,10,CCR,Freehold,1,2088000,1141,Strata,11 to 15,1830,14-Jul
47,RESIDENTIAL APARTMENTS,DRAYCOTT DRIVE,Apartment,10,CCR,Freehold,1,3850000,2121,Strata,11 to 15,1816,14-Jul
48,ONE ROBIN,ROBIN ROAD,Apartment,10,CCR,Freehold,1,3200000,1905,Strata,11 to 15,1680,14-Jul
49,PINEWOOD GARDENS,BALMORAL PARK,Condominium,10,CCR,Freehold,1,2900000,1981,Strata,01 to 05,1464,14-Jul
50,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5952000,2605,Strata,01 to 05,2285,14-Jul
51,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1770000,861,Strata,01 to 05,2055,14-Jul
52,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1480000,947,Strata,06 to 10,1562,14-Jul
53,ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,Freehold,1,2220000,926,Strata,01 to 05,2398,14-Jul
54,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,959000,452,Strata,01 to 05,2121,14-Jul
55,KASTURINA LODGE,KAY POH ROAD,Apartment,10,CCR,Freehold,1,1150000,753,Strata,06 to 10,1526,14-Jul
56,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1419420,689,Strata,01 to 05,2060,14-Jul
57,BALMORAL HEIGHTS,BALMORAL CRESCENT,Apartment,10,CCR,Freehold,1,1930000,1163,Strata,06 to 10,1660,14-Jul
58,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,7130000,2928,Strata,01 to 05,2435,14-Jul
59,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,3323000,1776,Strata,06 to 10,1871,14-Jul
60,CUSCADEN RESIDENCES,CUSCADEN ROAD,Condominium,10,CCR,Freehold,1,3100000,1453,Strata,06 to 10,2133,14-Jul
61,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4835000,1948,Strata,01 to 05,2482,14-Jul
62,WATERFALL GARDENS,FARRER ROAD,Condominium,10,CCR,Freehold,1,2980000,1830,Strata,06 to 10,1629,14-Jul
63,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1690000,861,Strata,01 to 05,1963,14-Jul
64,ST MARTIN RESIDENCE,ST. MARTIN'S DRIVE,Condominium,10,CCR,Freehold,1,4650000,2142,Strata,01 to 05,2171,14-Jul
65,MILL POINT,ZION CLOSE,Apartment,10,CCR,999 yrs lease commencing from 1877,1,1490000,915,Strata,11 to 15,1629,14-Jul
66,CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,1,1288000,657,Strata,06 to 10,1962,14-Jul
67,QUINTERRA,HOLLAND ROAD,Apartment,10,CCR,99 yrs lease commencing from 2006,1,2400000,1787,Strata,11 to 15,1343,14-Jul
68,GLENTREES,MOUNT SINAI LANE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2757000,1991,Strata,01 to 05,1384,14-Jul
69,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,971000,452,Strata,06 to 10,2148,14-Jul
70,VERDURE,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,2650000,1421,Strata,01 to 05,1865,14-Jul
71,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6400000,2680,Strata,11 to 15,2388,14-Jul
72,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1775000,861,Strata,01 to 05,2061,14-Jul
73,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,2288000,1044,Strata,01 to 05,2191,14-Jul
74,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,3909000,2131,Strata,06 to 10,1834,14-Jul
75,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,2618000,1119,Strata,06 to 10,2339,14-Jul
76,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,905000,431,Strata,01 to 05,2102,14-Jul
77,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,2122000,958,Strata,01 to 05,2215,14-Jul
78,ALLSWORTH PARK,HOLLAND ROAD,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2900000,1959,Strata,06 to 10,1480,14-Jul
79,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,1,2820000,1701,Strata,11 to 15,1658,14-Jul
80,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,3180000,2390,Strata,11 to 15,1331,14-Jul
81,GALLOP GABLES,FARRER ROAD,Condominium,10,CCR,Freehold,1,2430000,1528,Strata,01 to 05,1590,14-Jul
82,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4588000,2045,Strata,01 to 05,2243,14-Jul
83,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1600000,893,Strata,01 to 05,1791,14-Jul
84,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,3093792,1776,Strata,06 to 10,1742,14-Jul
85,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1847000,990,Strata,01 to 05,1865,14-Jul
86,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1183440,635,Strata,01 to 05,1863,14-Jul
87,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2982000,1518,Strata,06 to 10,1965,14-Jul
88,THE TOMLINSON,CUSCADEN ROAD,Apartment,10,CCR,Freehold,1,4800000,2347,Strata,06 to 10,2046,14-Jun
89,SOMMERVILLE GRANDEUR,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2960000,1938,Strata,06 to 10,1528,14-Jun
90,HOLLAND MEWS,HOLLAND ROAD,Apartment,10,CCR,Freehold,1,1448800,904,Strata,01 to 05,1602,14-Jun
91,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2100000,1744,Strata,21 to 25,1204,14-Jun
92,SOMMERVILLE PARK,SOMMERVILLE ESTATE ROAD,Condominium,10,CCR,Freehold,1,3088000,1959,Strata,-,1576,14-Jun
93,ALLSWORTH PARK,HOLLAND ROAD,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1513000,1033,Strata,11 to 15,1464,14-Jun
94,HOLLAND TOWER,HOLLAND HEIGHTS,Apartment,10,CCR,Freehold,1,2150000,1873,Strata,06 to 10,1148,14-Jun
95,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,965000,452,Strata,01 to 05,2135,14-Jun
96,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,3164047,1787,Strata,11 to 15,1771,14-Jun
97,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,947100,452,Strata,01 to 05,2095,14-Jun
98,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,3834000,2131,Strata,06 to 10,1799,14-Jun
99,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2800000,1539,Strata,06 to 10,1819,14-Jun
100,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,964320,452,Strata,01 to 05,2133,14-Jun
101,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2525600,1528,Strata,26 to 30,1652,14-Jun
102,FRASER SUITES,RIVER VALLEY ROAD,Apartment,10,CCR,999 yrs lease commencing from 1877,255,327000000,375470,Strata,01 to 05,871,14-Jun
103,MILL POINT,ZION CLOSE,Apartment,10,CCR,999 yrs lease commencing from 1877,1,2750000,2067,Strata,16 to 20,1331,14-Jun
104,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,1315000,936,Strata,01 to 05,1404,14-Jun
105,DUCHESS CREST,DUCHESS AVENUE,Condominium,10,CCR,99 yrs lease commencing from 1995,1,2320000,1701,Strata,01 to 05,1364,14-Jun
106,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,1,2480000,1604,Strata,01 to 05,1546,14-Jun
107,DORMER PARK,JERVOIS ROAD,Condominium,10,CCR,Freehold,1,2400000,1690,Strata,01 to 05,1420,14-Jun
108,WHITE HOUSE RESIDENCES,STEVENS ROAD,Condominium,10,CCR,Freehold,1,8500000,3595,Strata,01 to 05,2364,14-Jun
109,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1373500,678,Strata,01 to 05,2025,14-Jun
110,GLENTREES,MOUNT SINAI LANE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,3100000,2616,Strata,01 to 05,1185,14-Jun
111,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1390000,947,Strata,06 to 10,1467,14-Jun
112,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1780000,1216,Strata,16 to 20,1463,14-Jun
113,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1300000,861,Strata,06 to 10,1510,14-Jun
114,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,2290500,969,Strata,01 to 05,2364,14-Jun
115,DUCHESS RESIDENCES,DUCHESS AVENUE,Condominium,10,CCR,999 yrs lease commencing from 1875,1,2720000,1485,Strata,01 to 05,1831,14-Jun
116,CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,1,2950000,1453,Strata,01 to 05,2030,14-Jun
117,BEAVERTON COURT,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,4175000,3122,Strata,11 to 15,1337,14-Jun
118,CUSCADEN ROYALE,CUSCADEN WALK,Apartment,10,CCR,Freehold,1,2800000,1399,Strata,16 to 20,2001,14-Jun
119,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2528660,1539,Strata,21 to 25,1643,14-Jun
120,CHATELET,MARGOLIOUTH ROAD,Condominium,10,CCR,Freehold,1,2018000,1496,Strata,01 to 05,1349,14-Jun
121,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,9700000,4876,Strata,11 to 15,1989,14-Jun
122,BELLERIVE,KENG CHIN ROAD,Apartment,10,CCR,Freehold,1,1615000,958,Strata,01 to 05,1686,14-Jun
123,RV EDGE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,830000,366,Strata,01 to 05,2268,14-Jun
124,CYAN,KENG CHIN ROAD,Condominium,10,CCR,Freehold,1,3088000,1464,Strata,16 to 20,2109,14-Jun
125,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,2520000,1119,Strata,06 to 10,2251,14-Jun
126,SPANISH VILLAGE,FARRER ROAD,Condominium,10,CCR,Freehold,1,1780000,1173,Strata,01 to 05,1517,14-Jun
127,MONTVIEW,MOUNT SINAI DRIVE,Condominium,10,CCR,Freehold,1,2560000,1744,Strata,06 to 10,1468,14-Jun
128,THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,2338000,1399,Strata,01 to 05,1671,14-Jun
129,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,15600000,10710,Strata,11 to 15,1457,14-Jun
130,BALMORAL RESIDENCES,BALMORAL CRESCENT,Condominium,10,CCR,Freehold,1,2000000,1453,Strata,01 to 05,1376,14-Jun
131,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1708000,861,Strata,01 to 05,1983,14-Jun
132,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5055000,1970,Strata,01 to 05,2566,14-Jun
133,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1225320,549,Strata,06 to 10,2232,14-Jun
134,GLENTREES,MOUNT SINAI LANE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2380000,1991,Strata,01 to 05,1195,14-Jun
135,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1079500,635,Strata,11 to 15,1700,14-Jun
136,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,1,8700000,2885,Strata,21 to 25,3016,14-Jun
137,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1330000,861,Strata,06 to 10,1545,14-Jun
138,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,3858150,2433,Strata,26 to 30,1586,14-Jun
139,NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,Freehold,1,2964286,1442,Strata,16 to 20,2055,14-Jun
140,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1175000,797,Strata,11 to 15,1475,14-Jun
141,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1405480,689,Strata,01 to 05,2040,14-Jun
142,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6850000,2454,Strata,01 to 05,2791,14-Jun
143,GLENTREES,MOUNT SINAI LANE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1980000,1442,Strata,01 to 05,1373,14-Jun
144,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,959400,452,Strata,01 to 05,2122,14-Jun
145,GLENTREES,MOUNT SINAI LANE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1670000,1346,Strata,01 to 05,1241,14-Jun
146,THE TOMLINSON,CUSCADEN ROAD,Apartment,10,CCR,Freehold,1,4450000,2347,Strata,01 to 05,1896,14-Jun
147,CASABELLA,DUCHESS AVENUE,Condominium,10,CCR,Freehold,1,2768000,1776,Strata,01 to 05,1559,14-Jun
148,BOTANIC GARDENS VIEW,TAMAN SERASI,Apartment,10,CCR,Freehold,1,2700000,1410,Strata,06 to 10,1915,14-May
149,GARDENVILLE,WALSHE ROAD,Condominium,10,CCR,Freehold,1,2838000,1615,Strata,01 to 05,1758,14-May
150,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,2589000,1119,Strata,06 to 10,2313,14-May
151,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2819960,1722,Strata,26 to 30,1637,14-May
152,THE HERMITAGE,SARKIES ROAD,Apartment,10,CCR,Freehold,1,1390600,818,Strata,06 to 10,1700,14-May
153,CASABELLA,DUCHESS AVENUE,Condominium,10,CCR,Freehold,1,2100000,1281,Strata,01 to 05,1639,14-May
154,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,3130000,1701,Strata,06 to 10,1840,14-May
155,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2771000,1432,Strata,06 to 10,1936,14-May
156,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,1800000,1615,Strata,01 to 05,1115,14-May
157,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1780000,980,Strata,11 to 15,1817,14-May
158,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,895000,420,Strata,01 to 05,2132,14-May
159,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1050000,463,Strata,11 to 15,2269,14-May
160,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,1786000,893,Strata,01 to 05,1999,14-May
161,THE SERENADE @ HOLLAND,HOLLAND ROAD,Condominium,10,CCR,99 yrs lease commencing from 2001,1,2200000,1787,Strata,01 to 05,1231,14-May
162,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,877400,420,Strata,01 to 05,2090,14-May
163,GARDENVILLE,WALSHE ROAD,Condominium,10,CCR,Freehold,1,3435000,1808,Strata,01 to 05,1900,14-May
164,BALMORAL HILLS,BALMORAL PARK,Condominium,10,CCR,Freehold,1,2000000,1389,Strata,06 to 10,1440,14-May
165,SPANISH VILLAGE,FARRER ROAD,Condominium,10,CCR,Freehold,1,2250000,1539,Strata,01 to 05,1462,14-May
166,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1850000,1055,Strata,06 to 10,1754,14-May
167,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5730000,2454,Strata,06 to 10,2335,14-May
168,DUCHESS MANOR,DUCHESS ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,1,2700000,2756,Strata,01 to 05,980,14-May
169,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2744730,1744,Strata,21 to 25,1574,14-May
170,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,3300000,2648,Strata,11 to 15,1246,14-May
171,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,3200000,2002,Strata,01 to 05,1598,14-May
172,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2500000,1981,Strata,01 to 05,1262,14-May
173,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2273000,893,Strata,06 to 10,2544,14-May
174,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2208890,1356,Strata,21 to 25,1629,14-May
175,TANGLIN PARK,RIDLEY PARK,Condominium,10,CCR,Freehold,1,2500000,1335,Strata,01 to 05,1873,14-May
176,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1520000,958,Strata,01 to 05,1587,14-May
177,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1180000,850,Strata,06 to 10,1388,14-May
178,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2950000,1227,Strata,01 to 05,2404,14-May
179,FOUR SEASONS PARK,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,6200000,2260,Strata,16 to 20,2743,14-May
180,QUINTERRA,HOLLAND ROAD,Apartment,10,CCR,99 yrs lease commencing from 2006,1,1400000,1184,Strata,06 to 10,1182,14-May
181,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,2737000,1432,Strata,01 to 05,1912,14-May
182,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,11500000,4682,Strata,01 to 05,2456,14-May
183,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,5631000,2669,Strata,06 to 10,2109,14-May
184,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,5504000,2669,Strata,06 to 10,2062,14-May
185,GLENTREES,MOUNT SINAI LANE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,3950000,3412,Strata,01 to 05,1158,14-May
186,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,1990000,990,Strata,06 to 10,2010,14-May
187,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,5488000,2562,Strata,01 to 05,2142,14-Apr
188,RESIDENTIAL APARTMENTS,DRAYCOTT DRIVE,Apartment,10,CCR,Freehold,1,2000000,1141,Strata,16 to 20,1753,14-Apr
189,RIDGEWOOD,MOUNT SINAI RISE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2600000,2002,Strata,11 to 15,1299,14-Apr
190,GOODWOOD GRAND,BALMORAL ROAD,Apartment,10,CCR,Freehold,1,2470000,1044,Strata,01 to 05,2366,14-Apr
191,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1210000,441,Strata,06 to 10,2742,14-Apr
192,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,965000,452,Strata,01 to 05,2135,14-Apr
193,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,2515000,1119,Strata,01 to 05,2247,14-Apr
194,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1443000,1109,Strata,11 to 15,1302,14-Apr
