Year,Age,Percent
1972,25 and Over,28
1973,25 and Over,29.2
1974,25 and Over,32.8
1975,25 and Over,33.6
1976,25 and Over,33
1972,Under 25,72
1973,Under 25,70.8
1974,Under 25,67.2
1975,Under 25,66.4
1976,Under 25,67
